source_rank,city,state,country,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note
179,Nicosia,,Cyprus,157.0,97.8,67.8,55.2,57.4,7.4,27.1,60.1,86.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
180,Durban,,South Africa,156.0,114.2,19.5,58.3,35.9,2.8,25.5,53.2,95.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
181,Warsaw,,Poland,155.6,111.1,74.7,58.2,52.7,11.9,34.8,59.6,74.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
182,Wroclaw,,Poland,155.5,108.7,74.8,57.5,50.0,11.1,34.8,61.6,78.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
183,Regina,,Canada,155.4,127.1,46.5,65.4,61.8,4.0,23.7,41.4,14.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
184,Shenzhen,,China,154.8,124.3,75.5,64.2,37.7,28.3,33.7,55.1,81.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
185,Lodz,,Poland,154.0,108.1,62.4,58.6,47.8,8.7,35.6,57.4,77.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
186,Cuenca,,Ecuador,153.8,56.0,54.0,79.9,29.8,9.5,34.6,46.0,98.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
187,Taipei,,Taiwan,152.9,94.6,83.3,87.2,54.3,34.4,34.5,48.7,84.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
188,Rome,,Italy,152.5,96.4,53.2,64.9,59.9,14.6,35.1,47.6,93.7,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
189,Barcelona,,Spain,152.2,102.8,48.0,77.0,60.2,12.9,29.6,62.8,95.7,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
190,Brasilia,,Brazil,151.7,72.0,41.3,52.7,35.6,12.9,30.6,30.0,99.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
191,Sharjah,,United Arab Emirates,151.2,121.9,84.7,60.3,49.6,12.7,57.2,48.2,43.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
192,Krakow (Cracow),,Poland,150.5,111.5,75.2,58.3,50.4,12.6,31.1,69.8,73.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
193,Kaliningrad,,Russia,150.0,60.6,70.2,69.9,48.3,14.5,29.2,41.9,73.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
194,Varna,,Bulgaria,149.9,81.0,65.7,63.5,46.5,11.3,28.7,58.3,85.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
195,Bologna,,Italy,149.6,94.8,51.0,76.1,67.7,10.8,32.5,59.6,88.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
196,Nizhny Novgorod,,Russia,148.6,66.1,72.0,73.9,43.2,17.7,27.1,34.4,45.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
197,Florianopolis,,Brazil,148.4,69.4,55.0,60.4,37.6,12.1,41.6,40.1,97.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
198,Curitiba,,Brazil,148.1,59.3,40.4,67.0,35.3,15.3,32.8,30.9,99.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
199,Ankara,,Turkey,147.8,77.3,60.6,70.0,40.9,6.7,36.8,64.2,91.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
