source_rank,city,state,country,region,latitude,longitude,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note
158.0,Las Vegas,NV,United States,North America,36.1667,-115.15,162.7,149.0,44.7,53.6,69.1,5.0,27.1,51.5,57.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
159.0,Manchester,,United Kingdom,Europe,53.4667,-2.2333,162.5,125.8,44.2,74.5,66.9,7.6,39.0,52.3,86.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
160.0,Antalya,,Turkey,Middle East,36.8969,30.7133,162.4,72.1,70.8,73.5,39.0,10.0,36.2,44.7,91.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
161.0,Miami,FL,United States,North America,25.7833,-80.2,162.2,118.6,46.7,63.0,83.8,6.2,42.9,39.5,85.7,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
162.0,Brampton,,Canada,North America,43.7315,-79.7624,161.7,133.4,44.4,68.5,58.3,9.7,41.7,36.9,59.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
163.0,Brussels,,Belgium,Europe,50.8503,4.3517,160.6,136.1,44.2,73.6,70.1,6.7,36.4,62.2,83.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
164.0,Queretaro (Santiago de Querétaro),,Mexico,North America,20.5888,-100.3899,160.3,61.4,62.5,74.3,46.7,9.4,33.3,39.0,94.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
165.0,Plovdiv,,Bulgaria,Europe,42.1333,24.75,160.2,86.8,76.0,59.5,41.0,8.6,26.6,56.8,82.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
166.0,Bratislava,,Slovakia,Europe,48.1486,17.1077,160.2,90.1,69.7,55.8,55.9,15.4,30.1,35.8,80.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
167.0,Phoenix,AZ,United States,North America,33.45,-112.0667,160.2,149.2,46.7,66.0,73.8,4.7,32.7,58.0,53.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
168.0,Chicago,IL,United States,North America,41.8667,-87.6333,159.9,149.8,34.7,64.8,73.4,3.6,41.7,50.3,66.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
169.0,Cape Town,,South Africa,Africa,-33.9249,18.4241,159.7,106.9,26.4,68.9,41.7,5.7,42.4,38.3,98.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
